University Name,World Rank,Teaching Score,International Score,Research Score,Citations Score,Income Score,Total Score
California Institute of Technology,1,95.6,64,97.6,99.8,97.8,95.2
University of Oxford,2,86.5,94.4,98.9,98.8,73.1,94.2
Stanford University,3,92.5,76.3,96.2,99.9,63.3,93.9
University of Cambridge,4,88.2,91.5,96.7,97,55,92.8
Massachusetts Institute of Technology,5,89.4,84,88.6,99.7,95.4,92
Harvard University,6,83.6,77.2,99,99.8,45.2,91.6
Princeton University,7,85.1,78.5,91.9,99.3,52.1,90.1
Imperial College London,8,83.3,96,88.5,96.7,53.7,89.1
"ETH Zurich, Swiss Federal Institute of Technology Zurich",9,77,97.9,95,91.1,80,88.3
University of Chicago,10,85.7,65,88.9,99.2,36.6,87.9
Johns Hopkins University,11,77.6,70,90.4,98.2,100,87.6
Yale University,12,86.5,64.3,87.8,97.2,43.3,87.4
"University of California, Berkeley",13,80.4,61.9,91.1,99.7,47.9,87.2
University College London,14,78.1,94.4,91,94.2,40.5,87.1
Columbia University,15,85.9,73.5,82.2,98.1,-,86.1
"University of California, Los Angeles",16,80.8,56.4,88.6,98.5,47.9,85.8
University of Pennsylvania,17,82,49.5,86.9,98.6,47.9,85.2
Cornell University,18,77.9,63.9,86.1,97.2,33.7,84
University of Toronto,19,75.9,77.8,89.3,90.9,49.1,83.9
Duke University,20,76,56.5,78,99,100,82.7
University of Michigan,21,76.8,53.7,85.2,94.4,56.3,82.4
Carnegie Mellon University,22,67.4,57.1,88.8,99.1,57.5,82.3
London School of Economics and Political Science,23,69.8,93.6,80.6,94.3,32.2,81.3
University of Edinburgh,24,68.6,89.8,77.2,96.3,36.1,80.3
Northwestern University,25,69.8,53.9,78.4,96.5,81.2,79.5
National University of Singapore,26,71.7,96.2,84.5,79.4,49.8,79.2
Kings College London,27,64.5,93.8,75.8,93.8,40.1,78.2
Karolinska Institute,28,60.6,73.1,81.1,92.2,75.8,77.5
LMU Munich,29,70.5,62.8,77.4,85.7,100,77.3
New York University,30,74.7,49.3,72.3,95.3,30.4,77.2
Ecole Polytechnique Federale de Lausanne,31,61.3,98.6,67.5,94.6,65.4,76.1
University of Washington,32,67.1,51.2,70,98.6,43.1,75.6
University of Melbourne,33,62,87.1,75.5,86.6,64.6,75.4
University of British Columbia,34,60.2,90.5,73.2,91.5,42.6,75.3
KU Leuven,35,59.9,68.6,76.9,87.3,100,74.8
University of Illinois at Urbana-Champaign,36,64.5,45.8,81.2,86.8,52.8,74.5
Heidelberg University,37,68.8,62.8,69.6,88.2,68.2,74.4
McGill University,38,66.1,85.5,72.1,78.9,40.3,72.6
"University of California, San Diego",39,56.9,42.9,69.8,98.7,56.7,72.2
"University of California, Santa Barbara",39,52.6,61.5,66,99.2,90.4,72.2
Georgia Institute of Technology,41,57.8,71.5,72.7,86,73.7,72.1
Peking University,42,77.8,49.2,72.4,69.1,100,72
University of Tokyo,43,81.4,30.3,83,60.9,50.8,71.1
"University of California, Davis",44,60.1,58.4,72.7,84.3,57.3,71
University of Hong Kong,44,64.6,99.5,72.8,70.1,53.7,71
University of Texas at Austin,46,59.3,31.7,69.7,92.2,63.1,70.3
Tsinghua University,47,73.3,39.5,83,58.8,100,70
Wageningen University and Research Center,47,52.6,70.3,66.9,87.8,100,70
Humboldt University of Berlin,49,63.7,62.6,77,73.6,36.1,69.9
University of Wisconsin-Madison,50,65.1,33,68.2,86.6,48.5,69.7
Brown University,51,62.8,57.8,55.7,96.4,31.4,69.6
Australian National University,52,54.7,93.3,77.3,72.3,48,69.5
Technical University of Munich,53,61,63.8,66,80.1,99.2,69.4
Ecole Normale Superieure,54,70.6,85.5,47.7,87.1,37.1,69
Nanyang Technological University,55,48.4,94.6,61.3,85.6,99.9,68.2
University of Manchester,56,58.4,87,66,77.3,42,68.1
University of Sydney,56,54.3,84.4,68.1,77.5,72.4,68.1
University of Amsterdam,58,52.2,66.5,64.7,87.4,62.8,67.8
Hong Kong University of Science and Technology,59,49.4,80.5,66.1,82.6,68.1,67.2
The University of Queensland,60,49.2,89.3,62.8,82.4,76.7,67
Washington University in St Louis,60,54.3,44.9,55.6,99.2,33.5,67
Utrecht University,62,48.1,55.8,64.3,88.1,89.1,66.6
University of North Carolina at Chapel Hill,63,58,39,54.5,95.9,39.4,66.4
Boston University,64,57.8,51,49.5,97.7,30.3,66.1
Delft University of Technology,65,55,84,73.8,61.5,100,65.9
University of Minnesota,65,53.5,35.3,61,88,98.5,65.9
Leiden University,67,50.5,64.3,63.1,85.2,49.8,65.7
University of Southern California,68,49.3,56.3,58.9,93,38,65.5
University of Bristol,69,47.6,82.4,51.6,91.2,40,64.3
Durham University,70,47.9,86.4,51.9,87.7,34.4,63.6
Erasmus University Rotterdam,71,37.2,76.1,55.2,95.6,54.6,63.5
Free University of Berlin,72,57.9,69.2,72.2,60.2,35.1,63.2
Monash University,73,48.1,87.6,58.5,73.3,79.7,62.5
University of Groningen,74,43.3,63.9,56.9,84,92.4,62.4
Pennsylvania State University,75,50.4,40.8,61.9,80.5,56.2,62.3
University of Glasgow,76,41.6,85.8,48.3,92.3,31.6,61.9
University of Helsinki,76,48.4,51.8,60.4,82.1,31.6,61.9
University of Tubingen,78,47,58.2,59.8,79.3,59.2,61.7
University of Pittsburgh,79,50.6,33.9,50.3,92.3,39.3,61.5
University of Warwick,80,47.4,90.3,53.1,78.2,37.7,61.3
Uppsala University,81,44.1,59.6,61,80.9,39.5,61.2
University of Copenhagen,82,49.8,83.3,42.7,86.2,45,61
University of New South Wales,82,40.7,89.5,53.9,82.1,50,61
University of Freiburg,84,47.4,60.3,51.1,80.5,100,60.7
Seoul National University,85,66.5,30.9,70.5,50,85.4,60.5
University of St Andrews,86,49.7,92.3,47.3,78.8,30.6,60.4
Vanderbilt University,87,47.8,29.1,44.2,95.7,63.2,60.1
Kyoto University,88,70.6,26.1,69.3,46.6,79,59.9
Maastricht University,88,37.5,95.5,47.7,82.7,95.4,59.9
Emory University,90,48.3,51,37.1,96.7,48.9,59.7
Lund University,90,39.7,74.1,53.6,81.3,70.4,59.7
Ohio State University,90,51.6,53,46.6,83.2,53.1,59.7
University of Exeter,93,39.4,87.3,40,94.3,31.9,59.5
University of Bonn,94,45.1,63.6,47.5,85.3,-,58.8
Georgetown University,94,54.4,52.7,39.3,82.5,80.7,58.8
McMaster University,94,39.8,76.1,44.8,84.9,88,58.8
University of Sheffield,97,42.4,81.9,48.8,80.1,43.4,58.6
Queen Mary University of London,98,34.1,93.5,41.3,93.3,36.8,58.5
University of Gottingen,99,49.3,56.4,54.5,72.7,31.8,58
Michigan State University,99,47.3,56.4,52.6,76.8,32.2,58
University of Basel,101,39.5,94.7,33.1,88.3,99.9,57.9
Ecole Polytechnique,101,53.5,92.8,44.6,64.7,82.3,57.9
Rice University,101,37.9,66.6,35.1,99.7,41.7,57.9
Dartmouth College,104,50.7,38.3,35.8,93.3,40.8,57.8
University of Zurich,104,49.5,90.4,31.5,85.4,44,57.8
Aarhus University,106,36.9,76.8,50.7,79.8,68.3,57.7
"University of California, Irvine",106,39.9,59.2,41.8,91.6,48.9,57.7
University of Mannheim,106,34.5,64.6,47.7,86.9,85.3,57.7
University of Notre Dame,108,47.6,47.6,48.1,81.7,33.7,57.6
University of Western Australia,109,33.4,92.6,46.1,83.6,64.5,57.5
RWTH Aachen University,110,49.4,54.1,56.3,63.2,98.1,57.2
University of Southampton,110,39.8,88.4,43.6,82,37.5,57.2
Scuola Normale Superiore di Pisa,112,54.2,46.3,53.1,67.2,52,57.1
University of Montreal,113,46.3,84.2,45.5,69.6,92.6,57
Pierre and Marie Curie University,113,52.8,74.1,32.7,82.9,37.4,57
Purdue University,113,50.2,66.4,57.7,63.2,-,57
Pohang University of Science and Technology,116,49.1,33.7,47.1,76.7,100,56.9
"University of Maryland, College Park",117,45,43.5,42.1,88.2,32.3,56.7
Ghent University,118,42.1,54.2,54.5,71.2,88.3,56.6
University of Birmingham,119,39.4,82,41.8,82.7,34.7,56.2
University of Bern,120,40,83.7,42.5,76.6,82.9,56.1
University of Cape Town,120,34.9,80.2,38.7,85.6,92.7,56.1
University of Florida,120,51.8,33.3,56.8,67.7,-,56.1
University of Erlangen-Nuremberg,123,51.7,47,39.7,75.2,99.4,56
"Rutgers, the State University of New Jersey",123,43.9,34.7,55.7,75.4,35.9,56
University of Munster,125,40.3,46.3,44.1,85.6,58.2,55.9
Radboud University Nijmegen,125,34.3,60.9,48.5,84.9,39.2,55.9
University of Colorado Boulder,127,39.7,36.6,37.6,96.4,35.7,55.8
Tufts University,127,45.2,49.4,33.3,90.1,60.7,55.8
"Royal Holloway, University of London",129,35.1,92.7,33.2,91.2,34.4,55.7
Lancaster University,130,34,87,41.4,85.3,33.6,55.6
University of Geneva,131,34.9,98.5,40.5,78.5,72.4,55.4
University of York,131,41.9,83.5,46.3,73.1,31.1,55.4
Case Western Reserve University,133,46.1,40.5,33.2,92,34.1,55.3
University of Leeds,133,43.7,77.4,39,79.2,36.7,55.3
University of Oslo,135,43.3,68.2,44.7,75.5,38.3,55.1
Stockholm University,136,34.1,48.5,51.2,82.5,31.1,54.8
University of Alberta,137,46.4,80.7,48.1,63.6,47.4,54.7
Chinese University of Hong Kong,138,41.5,81.1,48.5,68.4,37.5,54.5
Karlsruhe Institute of Technology,138,37.7,56.7,47.5,73.8,99.5,54.5
University of Sussex,140,33.4,88.3,37.2,86.1,30.6,54.4
University of Massachusetts,141,40.2,48.9,36.3,88.1,52.2,54.3
University of Vienna,142,40.8,92.6,50.5,63.6,30.2,54.2
University of Nottingham,143,40.3,80.6,39,77.5,39.8,54.1
"University of California, Santa Cruz",144,31.1,45.6,34.2,99.9,36.1,53.9
University of Lausanne,144,30.9,89.2,45.6,76.2,56,53.9
Autonomous University of Barcelona,146,40.3,50.3,40,83.8,34.9,53.8
University of Virginia,147,38.8,43.4,37.5,87.3,37.9,53.3
Korea Advanced Institute of Science and Technology (KAIST),148,43.3,33.9,40.5,75.9,100,53
University of Adelaide,149,32.8,85.1,43.2,72.4,79.3,52.9
University of East Anglia,149,31.9,83.5,28.7,92.7,28.5,52.9
University of Twente,149,34.1,80.1,45.6,68.8,91.2,52.9
Sungkyunkwan University (SKKU),153,51.4,36.7,53.5,53.8,97.5,52.8
VU University Amsterdam,154,28.4,54.9,37.1,90.7,60.1,52.5
KTH Royal Institute of Technology,155,39,84.4,44.3,63.9,78.1,52.4
University of Cologne,156,42.2,53.1,38,75,68.5,52.3
University of Liverpool,157,32.8,85.4,30.9,85.9,36.6,52.2
TU Dresden,158,41.4,47.7,45.8,66.1,99.7,52.1
University of Rochester,158,39.7,55.8,27.9,89,37,52.1
Trinity College Dublin,160,41.9,90.5,30.8,75.8,28,52
Lomonosov Moscow State University,161,75.4,57.8,66.7,8.6,95.7,51.9
University of Miami,161,41.7,64,22.3,90.1,35.5,51.9
University of Arizona,163,38.7,38.6,41.8,79.5,32.4,51.7
Pompeu Fabra University,164,32.9,63.3,28,90.7,37.2,51.2
University of Reading,164,39.3,85.1,37.3,69.9,34.2,51.2
Yeshiva University,164,44.8,28.5,23.7,92.8,-,51.2
"University of California, Riverside",167,27.5,59.5,33.3,91.2,42.5,51.1
University of Leicester,167,32.1,86.6,27.8,86,31.7,51.1
National Taiwan University,167,54.1,27.7,58,47.3,49.6,51.1
Technical University of Denmark,167,37.3,85.1,29.9,77.8,50,51.1
Universit Catholique de Louvain,167,38.7,74.2,40.6,68.4,51,51.1
University of Aberdeen,172,29.7,91.4,31.4,82.6,43.1,51
University of Auckland,172,31.4,90.5,39.5,69.8,78,51
University of Barcelona,174,38.5,49.2,37.4,78.9,31.1,50.9
University of Konstanz,175,38.5,58.3,46.7,61.9,92.4,50.8
Eindhoven University of Technology,176,34.3,71.3,41,70.7,57.3,50.6
University College Dublin,176,35,86.3,38.5,70.8,33.5,50.6
Hebrew University of Jerusalem,178,45.8,55.6,41.4,64.6,31.9,50.5
University of Waterloo,179,35.4,74.4,43.9,66.5,39.5,50.3
University of Gothenburg,180,28.5,58.3,39.8,81.8,30.3,50.2
"Scuola Superiore Sants, Eanna",180,42.5,45.2,23.2,84.5,71.2,50.2
University of Bergen,182,32.5,70,31.5,82.4,36.2,50.1
Cardiff University,182,30.9,78.1,31.6,82,34.6,50.1
University of Utah,182,35.6,30.1,35.3,83.7,57.4,50.1
Brandeis University,185,28.3,47,25.7,97.3,38.6,49.9
University of Dundee,185,25.6,78.5,26.9,90.2,49.5,49.9
University of Warzburg,185,34.6,50.9,35.8,79.1,47.9,49.9
Paris-Sud University,188,38.7,64.2,29,79.8,28.8,49.8
Arizona State University,189,32.4,31.9,38.1,84.6,32,49.7
University of Antwerp,190,31.6,64.8,40.8,71.7,60.3,49.6
Boston College,190,34.1,60,29.3,83.3,46.8,49.6
Ulm University,192,35.2,58.2,23.9,86.4,58.4,49.5
University of Luxembourg,193,25,99.8,26.7,84.8,38.1,49.4
Texas A&M University,193,49.4,47.8,52.4,47.1,46.4,49.4
Charite - Universitetsmedizin Berlin,195,37.3,61.1,22.2,83.8,68.4,49.3
Newcastle University,196,30.9,84.3,27.5,81.5,34.7,49.2
"St Georges, University of London",196,25.6,69.5,18.1,100,37.7,49.2
University of Trento,198,30.8,55.9,27.4,87.7,47.1,49.1
"Paris Diderot University, Paris 7",199,30.5,64.9,22.9,91,29,48.9
Queens University Belfast,200,34.1,93.4,33.3,68.9,35.7,48.8
